DATE,HOSINVUSM495N
2022-04-01,1030000.0
2022-05-01,1150000.0
2022-06-01,1250000.0
2022-07-01,1300000.0
2022-08-01,1280000.0
2022-09-01,1230000.0
2022-10-01,1220000.0
2022-11-01,1120000.0
2022-12-01,960000.0
2023-01-01,980000.0
2023-02-01,970000.0
2023-03-01,970000.0
2023-04-01,1040000.0
