DATE,FIXHAI
2022-03-01,118.8
2022-04-01,104.1
2022-05-01,98.3
2022-06-01,94.5
2022-07-01,99.6
2022-08-01,103.8
2022-09-01,97.0
2022-10-01,91.3
2022-11-01,94.3
2022-12-01,101.4
2023-01-01,104.2
2023-02-01,103.8
2023-03-01,98.6
